"Country","Original Budget","Available Budget","Actual Expenditures","Carryover Budget","Expenditures to Date","Percentage Used","Comments","Comments","Year","Parent Category","Category"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Implementation Partners"
"Morocco","189167.00","189167.00","189167.00","0.00","355834.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Saudi Arabia","72500.00","72500.00","72500.00","0.00","152500.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Spain","551966.00","551966.00","556802.00","-4836.00","1259325.00","100.39","","","2020","Third Party Services","Implementation Partners"
"Portugal","107250.00","107250.00","107250.00","0.00","107250.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Implementation Partners"
"United Arab Emirates","72500.00","72500.00","72500.00","0.00","152500.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Spain","28091.00","28091.00","13825.00","14266.00","30570.00","68.18","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Global","14851.00","14851.00","5712.00","9139.00","8972.00","49.54","","","2020","Third Party Services","Vendors"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
